Date,temperature,anomoly
4/19/2023 12:00,15.665,0.5267
4/19/2023 18:00,15.319,0.4064
4/20/2023 0:00,14.82,0.3799
4/20/2023 6:00,15.157,0.3597
4/20/2023 12:00,15.423,0.2479
4/20/2023 18:00,15.227,0.2788
4/21/2023 0:00,14.719,0.2411
4/21/2023 6:00,15.137,0.3026
4/21/2023 12:00,15.525,0.3149
4/21/2023 18:00,15.211,0.2305
4/22/2023 0:00,14.82,0.3077
4/22/2023 6:00,15.207,0.339
4/22/2023 12:00,15.549,0.306
4/22/2023 18:00,15.209,0.1979
4/23/2023 0:00,14.836,0.293
4/23/2023 6:00,15.25,0.3511
4/23/2023 12:00,15.582,0.3097
4/23/2023 18:00,15.298,0.2558
4/24/2023 0:00,14.835,0.2635
4/24/2023 6:00,15.27,0.343
4/24/2023 12:00,15.586,0.2852
4/24/2023 18:00,15.349,0.2777
4/25/2023 0:00,14.942,0.3417
4/25/2023 6:00,15.301,0.3462
4/25/2023 12:00,15.762,0.4335
4/25/2023 18:00,15.384,0.2846
4/26/2023 0:00,15.006,0.3769
4/26/2023 6:00,15.391,0.407
4/26/2023 12:00,15.861,0.5036
4/26/2023 18:00,15.508,0.3803
4/27/2023 0:00,15.092,0.4359
4/27/2023 6:00,15.393,0.3832
4/27/2023 12:00,15.791,0.4089
4/27/2023 18:00,15.531,0.3802
4/28/2023 0:00,15.104,0.4237
4/28/2023 6:00,15.366,0.3313
4/28/2023 12:00,15.787,0.382
4/28/2023 18:00,15.543,0.3691
4/29/2023 0:00,15.07,0.3643
4/29/2023 6:00,15.418,0.3582
4/29/2023 12:00,15.707,0.2761
4/29/2023 18:00,15.49,0.289
4/30/2023 0:00,15.056,0.3226
4/30/2023 6:00,15.476,0.3933
4/30/2023 12:00,15.781,0.326
4/30/2023 18:00,15.578,0.3499
5/1/2023 0:00,15.126,0.3657
5/1/2023 6:00,15.473,0.3654
5/1/2023 12:00,15.785,0.3046
5/1/2023 18:00,15.568,0.3119
5/2/2023 0:00,15.123,0.3361
5/2/2023 6:00,15.493,0.3586
5/2/2023 12:00,15.839,0.3309
5/2/2023 18:00,15.664,0.3794
5/3/2023 0:00,15.154,0.338
5/3/2023 6:00,15.5,0.3388
5/3/2023 12:00,15.887,0.3513
5/3/2023 18:00,15.685,0.3729
5/4/2023 0:00,15.287,0.4457
5/4/2023 6:00,15.586,0.3979
5/4/2023 12:00,16.018,0.4545
5/4/2023 18:00,15.762,0.4229
5/5/2023 0:00,15.312,0.4451
5/5/2023 6:00,15.595,0.3797
5/5/2023 12:00,16.053,0.4636
5/5/2023 18:00,15.766,0.4002
5/6/2023 0:00,15.337,0.4432
5/6/2023 6:00,15.648,0.4048
5/6/2023 12:00,16.05,0.4294
5/6/2023 18:00,15.693,0.2964
5/7/2023 0:00,15.306,0.3842
5/7/2023 6:00,15.657,0.3851
5/7/2023 12:00,16.016,0.3645
5/7/2023 18:00,15.756,0.3319
5/8/2023 0:00,15.244,0.2941
5/8/2023 6:00,15.664,0.3633
5/8/2023 12:00,15.991,0.3113
5/8/2023 18:00,15.743,0.2906
5/9/2023 0:00,15.239,0.2632
